"﻿IDS_DATE","Day","Rooms","OOO","StayOver","Arrivals","DueOut","Available","Group Block","Group Picked Up","TransNGTD","TransGTD","Occupied","OccPercent","RoomRev","RevPAR","ADR","Ppl"
"4/1/24","Mon","47","0","42","19","14","5"," "," "," "," ","42","89.36 %","4,464.52","94.99","106.30","75 / 12"
"4/2/24","Tue","47","2","42","17","17","3"," "," "," "," ","42","93.33 %","4,791.67","106.48","114.09","63 / 16"
"4/3/24","Wed","47","1","46","18","14","0"," "," "," "," ","46","100.00 %","6,196.54","134.71","134.71","73 / 17"
"4/4/24","Thu","47","2","45","12","13","0"," "," "," "," ","45","100.00 %","5,697.84","126.62","126.62","72 / 17"
"4/5/24","Fri","47","0","46","23","22","1"," "," "," "," ","46","97.87 %","5,687.94","121.02","123.65","82 / 18"
"4/6/24","Sat","47","0","37","13","22","10"," "," "," "," ","37","78.72 %","4,292.45","91.33","116.01","71 / 8"
"4/7/24","Sun","47","0","34","20","23","13"," "," "," "," ","34","76.60 %","4,096.98","87.17","113.81","65 / 3"
"4/8/24","Mon","47","0","45","23","12","2"," "," "," "," ","45","95.74 %","5,438.20","115.71","120.85","81 / 3"
"4/9/24","Tue","47","0","46","14","13","1"," "," "," "," ","46","97.87 %","6,138.59","130.61","133.45","81 / 0"
"4/10/24","Wed","47","0","47","21","20","0"," "," "," "," ","47","100.00 %","6,023.43","128.16","128.16","80 / 3"
"4/11/24","Thu","47","2","34","17","30","11"," "," "," "," ","34","75.56 %","3,125.12","69.45","91.92","63 / 4"
"4/12/24","Fri","47","0","45","24","13","2"," "," "," "," ","45","95.74 %","5,307.62","112.93","117.95","79 / 6"
"4/13/24","Sat","47","0","47","20","18","0"," "," "," "," ","47","100.00 %","5,394.18","114.77","114.77","84 / 10"
"4/14/24","Sun","47","0","46","26","27","1"," "," "," "," ","46","97.87 %","4,599.99","97.87","100.00","72 / 5"
"4/15/24","Mon","47","0","47","20","19","0"," "," "," "," ","47","100.00 %","5,863.83","124.76","124.76","71 / 4"
"4/16/24","Tue","47","0","47","18","18","0"," "," "," "," ","47","100.00 %","7,211.65","153.44","153.44","69 / 1"
"4/17/24","Wed","47","0","47","21","21","0"," "," "," "," ","47","100.00 %","7,371.12","156.83","156.83","78 / 1"
"4/18/24","Thu","47","0","42","16","21","5"," "," "," "," ","42","89.36 %","5,477.24","116.54","130.41","78 / 1"
"4/19/24","Fri","47","0","39","8","11","8"," "," "," "," ","39","82.98 %","4,893.23","104.11","125.47","74 / 1"
"4/20/24","Sat","47","0","43","25","21","4"," "," "," "," ","43","91.49 %","5,369.16","114.24","124.86","68 / 7"
"4/21/24","Sun","47","0","31","14","26","16"," "," "," "," ","31","65.96 %","4,070.14","86.60","131.29","47 / 2"
"4/22/24","Mon","47","0","35","14","10","12"," "," "," "," ","35","74.47 %","4,788.11","101.87","136.80","55 / 2"
"4/23/24","Tue","47","1","42","20","13","4"," "," "," "," ","42","91.30 %","5,215.23","113.37","124.17","72 / 3"
"4/24/24","Wed","47","1","45","24","21","1"," "," "," "," ","45","97.83 %","5,088.02","110.61","113.07","82 / 6"
"4/25/24","Thu","47","2","45","20","20","0"," "," "," "," ","45","100.00 %","4,967.88","110.40","110.40","77 / 11"
"4/26/24","Fri","47","0","47","25","23","0"," "," "," "," ","47","100.00 %","4,726.48","100.56","100.56","74 / 9"
"4/27/24","Sat","47","1","46","24","25","0"," "," "," "," ","46","100.00 %","4,693.70","102.04","102.04","78 / 13"
"4/28/24","Sun","47","0","33","15","28","14"," "," "," "," ","33","70.21 %","3,215.90","68.42","97.45","48 / 2"
"4/29/24","Mon","47","0","37","21","17","10"," "," "," "," ","37","78.72 %","4,012.39","85.37","108.44","56 / 3"
"4/30/24","Tue","47","0","47","32","22","0"," "," "," "," ","47","100.00 %","5,663.06","120.49","120.49","71 / 1"

