IDS_DATE,Day,Rooms,OOO,StayOver,Arrivals,DueOut,Available,Group Block,Group Picked Up,TransNGTD,TransGTD,Occupied,OccPercent,RoomRev,RevPAR,ADR
1/1/2023,Sun,47,4,11,1,29,32,,,,,11,25.58%,1232.43,28.66,112.04
1/2/2023,Mon,47,7,15,7,3,25,,,,,15,37.50%,1364.27,34.11,90.95
1/3/2023,Tue,47,7,10,5,10,30,,,,,10,25.00%,-106.55,-2.66,-10.66
1/4/2023,Wed,47,7,7,2,5,33,,,,,7,17.50%,653.53,16.34,93.36
1/5/2023,Thu,47,4,7,2,2,36,,,,,7,16.28%,673.2,15.66,96.17
1/6/2023,Fri,47,4,6,1,2,37,,,,,6,13.95%,591.16,13.75,98.53
1/7/2023,Sat,47,3,7,4,3,37,,,,,7,15.91%,619.4,14.08,88.49
1/8/2023,Sun,47,3,4,1,4,40,,,,,4,9.09%,386.99,8.8,96.75
1/9/2023,Mon,47,3,6,3,1,38,,,,,6,13.64%,630.54,14.33,105.09
1/10/2023,Tue,47,6,6,4,4,35,,,,,6,14.63%,440.4,10.74,73.4
1/11/2023,Wed,47,3,8,4,2,36,,,,,8,18.18%,678.23,15.41,84.78
1/12/2023,Thu,47,4,13,8,3,30,,,,,13,30.23%,1118.49,26.01,86.04
1/13/2023,Fri,47,5,10,4,7,32,,,,,10,23.81%,871.65,20.75,87.17
1/14/2023,Sat,47,3,8,6,8,36,,,,,8,18.18%,597.34,13.58,74.67
1/15/2023,Sun,47,2,15,12,5,30,,,,,15,33.33%,1141.81,25.37,76.12
1/16/2023,Mon,47,2,9,3,9,36,,,,,9,20.00%,635.42,14.12,70.6
1/17/2023,Tue,47,3,15,11,5,29,,,,,15,34.09%,1054.54,23.97,70.3
1/18/2023,Wed,47,5,23,15,7,19,,,,,23,54.76%,1629.11,38.79,70.83
1/19/2023,Thu,47,4,23,8,8,20,,,,,23,53.49%,1666.09,38.75,72.44
1/20/2023,Fri,47,4,18,9,14,25,,,,,18,41.86%,1277.21,29.7,70.96
1/21/2023,Sat,47,4,11,5,12,32,,,,,11,25.58%,788.55,18.34,71.69
1/22/2023,Sun,47,4,6,3,8,37,,,,,6,13.95%,458.15,10.65,76.36
1/23/2023,Mon,47,4,11,10,5,32,,,,,11,25.58%,807.09,18.77,73.37
1/24/2023,Tue,47,5,16,15,10,26,,,,,16,38.10%,1158.26,27.58,72.39
1/25/2023,Wed,47,3,27,22,11,17,,,,,27,61.36%,1851.8,42.09,68.59
1/26/2023,Thu,47,4,21,13,19,22,,,,,21,48.84%,1476.46,34.34,70.31
1/27/2023,Fri,47,5,15,9,15,27,,,,,15,35.71%,1025.18,24.41,68.35
1/28/2023,Sat,47,5,16,7,6,26,,,,,16,38.10%,1147.21,27.31,71.7
1/29/2023,Sun,47,5,10,2,8,32,,,,,10,23.81%,672.71,16.02,67.27
1/30/2023,Mon,47,5,12,7,5,30,,,,,12,28.57%,871.49,20.75,72.62
1/31/2023,Tue,47,4,17,12,7,26,,,,,17,39.53%,1253.27,29.15,73.72
2/1/2023,Wed,47,4,15,10,12,28,,,,,15,34.88%,1113.12,25.89,74.21
2/2/2023,Thu,47,4,11,5,9,32,,,,,11,25.58%,748.26,17.4,68.02
2/3/2023,Fri,47,4,10,6,7,33,,,,,10,23.26%,737.79,17.16,73.78
2/4/2023,Sat,47,4,12,9,7,31,,,,,12,27.91%,824.05,19.16,68.67
2/5/2023,Sun,47,4,12,7,7,31,,,,,12,27.91%,929.52,21.62,77.46
2/6/2023,Mon,47,4,17,12,7,26,,,,,17,39.53%,1280.31,29.77,75.31
2/7/2023,Tue,47,7,19,12,10,21,,,,,19,47.50%,1476.31,36.91,77.7
2/8/2023,Wed,47,6,20,13,12,21,,,,,20,48.78%,1623.59,39.6,81.18
