RATE CODE,Room Nights,%Room Nights,Room Revenue,%Room Revenue,Daily AVG
LEXP,800,6.98,73195.31,6.43,91.49
LOPQ2,908,7.92,66329.82,5.83,73.05
LPROMO,517,4.51,50753.76,4.46,98.17
RACK,675,5.89,76603.07,6.73,113.49
SAARP,39,0.34,4371.04,0.38,112.08
SAPR2X,1105,9.64,100192.65,8.8,90.67
SBOOK,796,6.94,90768.82,7.98,114.03
SCPM,896,7.82,96302.21,8.46,107.48
SED,99,0.86,4090,0.36,41.31
SRD,231,2.02,12340.96,1.08,53.42
SAMBR,137,1.2,10908.49,0.96,79.62
SAPR2B,130,1.13,14937.45,1.31,114.9
SAPR2M,324,2.83,33803.58,2.97,104.33
SRTL,581,5.07,74221.27,6.52,127.75
NTVH02,12,0.1,1009.85,0.09,84.15
S3A,238,2.08,23530.42,2.07,98.87
SAGOD,15,0.13,1384.67,0.12,92.31
SAPR1M,123,1.07,12209.52,1.07,99.26
SAPR1X,197,1.72,18136.87,1.59,92.07
LWTO,70,0.61,5990.89,0.53,85.58
SCR,282,2.46,29494.69,2.59,104.59
NF6H02,58,0.51,6755.42,0.59,116.47
LL10,29,0.25,3557.12,0.31,122.66
SAPR1V,281,2.45,23431.86,2.06,83.39
SIT,12,0.1,1132.36,0.1,94.36
SAPR2,45,0.39,6302.38,0.55,140.05
SNP,39,0.34,4148.16,0.36,106.36
SO2EXP,403,3.52,36714.18,3.23,91.1
SO2R,336,2.93,36815.03,3.23,109.57
SO15M2,11,0.1,923.87,0.08,83.99
SP2BK,16,0.14,1342.46,0.12,83.9
SHOPPR,6,0.05,541.53,0.05,90.26
SSC,96,0.84,11102.88,0.98,115.66
SC15,25,0.22,2261.2,0.2,90.45
SC12,2,0.02,172.92,0.02,86.46
SAPR1B,87,0.76,9270.84,0.81,106.56
SN25,1,0.01,90.9,0.01,90.9
SGML,22,0.19,2186.81,0.19,99.4
LNET2,5,0.04,421.57,0.04,84.31
PKPR1,9,0.08,1307.55,0.11,145.28
SAPR2H,8,0.07,675.65,0.06,84.46
GROUP~,103,0.9,13836.43,1.22,134.33
SSO,9,0.08,821.6,0.07,91.29
SNC15,3,0.03,298.18,0.03,99.39
SAPR2P,22,0.19,2245.52,0.2,102.07
SAPR2R,7,0.06,898.76,0.08,128.39
SOPM2M,695,6.06,71727.57,6.3,103.21
SAPR2A,10,0.09,872,0.08,87.2
SO2BK,497,4.34,55828.65,4.91,112.33
SEGEN,8,0.07,763.17,0.07,95.4
SAPR1P,2,0.02,213.82,0.02,106.91
SO2P,23,0.2,2178.36,0.19,94.71
NHPT,2,0.02,190,0.02,95
SCC12,4,0.03,519.86,0.05,129.97
SAPR1O,107,0.93,8378.95,0.74,78.31
SAPR1R,5,0.04,540.68,0.05,108.14
SOPRM2,29,0.25,3285.13,0.29,113.28
GNT,44,0.38,4918.14,0.43,111.78
NO SHOW,0,0,1278.46,0.11,?
SITC,11,0.1,1310.13,0.12,119.1
SEMBRR,43,0.38,4133.59,0.36,96.13
SEMBR,139,1.21,11334.07,1,81.54
SAPR1H,5,0.04,434.58,0.04,86.92
SWTOX,5,0.04,408.83,0.04,81.77
SAPR1,10,0.09,977.4,0.09,97.74
SO2AG,9,0.08,655.28,0.06,72.81
S3A1,1,0.01,87.2,0.01,87.2
LOPQ3,1,0.01,68.14,0.01,68.14
LOPQ5,1,0.01,69.29,0.01,69.29
PKPR2,1,0.01,120.75,0.01,120.75
