"﻿IDS_RATE_CODE","Room Nights","%Room Nights","Room Revenue","%Room Revenue","Daily AVG"
"LL10","34","1.40","3516.50","1.48","103.43"
"LNET2","21","0.87","1892.26","0.80","90.11"
"LOPQ2","101","4.16","7248.79","3.06","71.77"
"LPROMO","73","3.01","6060.80","2.56","83.02"
"RACK","345","14.22","34641.33","14.62","100.41"
"SAARP","3","0.12","254.70","0.11","84.90"
"SAPR1V","102","4.20","8614.99","3.64","84.46"
"SBOOK","296","12.20","34325.02","14.49","115.96"
"SCPM","233","9.60","25493.77","10.76","109.42"
"SED","20","0.82","840.00","0.35","42.00"
"SAPR1B","27","1.11","2807.50","1.19","103.98"
"SAPR1M","19","0.78","2188.37","0.92","115.18"
"SAPR1O","129","5.32","11005.62","4.65","85.31"
"SCR","106","4.37","11126.61","4.70","104.97"
"SRD","40","1.65","1236.52","0.52","30.91"
"SSO","5","0.21","382.12","0.16","76.42"
"S3A","55","2.27","5777.85","2.44","105.05"
"SRTL","46","1.90","6244.30","2.64","135.75"
"LWTO","9","0.37","694.50","0.29","77.17"
"SAPR2B","18","0.74","2017.53","0.85","112.09"
"SAPR2M","69","2.84","7066.27","2.98","102.41"
"SEMBR","162","6.67","14795.69","6.25","91.33"
"SEMBRR","116","4.78","13736.10","5.80","118.41"
"LEXP","31","1.28","3226.15","1.36","104.07"
"SPCHAN","2","0.08","168.40","0.07","84.20"
"SSC","9","0.37","882.00","0.37","98.00"
"SNC15","1","0.04","84.15","0.04","84.15"
"SCC12","5","0.21","530.64","0.22","106.13"
"LOPQ","158","6.51","10629.83","4.49","67.28"
"SIT","6","0.25","547.20","0.23","91.20"
"NO SHOW","0","0.00","765.50","0.32","∞"
"SAMBR","61","2.51","4836.83","2.04","79.29"
"LCOMP","2","0.08","0.00","0.00","0.00"
"SAPR1X","4","0.16","429.64","0.18","107.41"
"SAGOD","11","0.45","1081.32","0.46","98.30"
"NTVH02","4","0.16","263.44","0.11","65.86"
"SAPR2A","8","0.33","583.84","0.25","72.98"
"SWTOX","13","0.54","1307.87","0.55","100.61"
"SGML","15","0.62","2032.68","0.86","135.51"
"SAPR2X","41","1.69","4262.29","1.80","103.96"
"SITC","1","0.04","102.00","0.04","102.00"
"SAPR1P","1","0.04","87.98","0.04","87.98"
"SNP","7","0.29","790.40","0.33","112.91"
"SHOPP","1","0.04","96.75","0.04","96.75"
"SAPR2P","6","0.25","642.82","0.27","107.14"
"PKPR1","1","0.04","174.50","0.07","174.50"
"SC15","1","0.04","177.65","0.07","177.65"
"SGM","3","0.12","499.00","0.21","166.33"
"SAPR1","2","0.08","241.20","0.10","120.60"
"LEXP2","2","0.08","234.06","0.10","117.03"
"SC12","2","0.08","271.04","0.11","135.52"

